title,release,description,rating,trailer,is_featured,poster
"The Queen's Gambit",2020-01-01,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",8.6,https://youtu.be/oZn3qSgmLqI,1,https://i.ibb.co/x8t9JDC/image.jpg
"Prodigal Son",2019-01-01,"The son of a notorious serial killer becomes an acclaimed criminal psychologist who uses his unique insight into how killers think to help the NYPD.",8.3,https://youtu.be/OoZ_te1Xa74,1,https://i.ibb.co/X56VPMB/image.jpg
See,2019-01-01,"A virus has decimated humankind. Those who survived emerged blind. Centuries later when twins are born with the mythic ability to see, their father must protect his tribe against a threatened queen.",8.2,https://youtu.be/03RAKJipMeM,1,https://i.ibb.co/8bSPQ3q/image.jpg
"Mr. Robot",2015-01-01,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.",8.2,https://youtu.be/N6HGuJC--rk,1,https://i.ibb.co/f8cqf3h/image.jpg
"Peaky Blinders",2013-01-01,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",8.6,https://youtu.be/EM12mcTEI88,1,https://i.ibb.co/2dwZs8w/image.jpg
"Hunter x Hunter",2011-01-01,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter â€” a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",8.7,https://youtu.be/d6kBeJjTGnY,1,https://i.ibb.co/9hnXJ3t/image.jpg
Sherlock,2010-01-01,"A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.",9.4,https://youtu.be/xK7S9mrFWL4,1,https://i.ibb.co/3zPKmWX/image.jpg
"Breaking Bad",2008-01-01,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",8.8,https://youtu.be/XZ8daibM3AE,1,https://i.ibb.co/1LT61kW/image.jpg
"One Piece",1999-01-01,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",8.7,https://youtu.be/S8_YwFLCh4U,1,https://i.ibb.co/b7TTs7T/image.jpg
"Dragon Ball Z",1989-01-01,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",8.3,https://youtu.be/R4vjJrGeh1c,1,https://i.ibb.co/3hm4Nw8/image.jpg
